@timestamp,level,endpoint,event,@message
2026-02-12 09:03:22.863,,,,Connection <AdaptedConnection <asyncpg.connection.Connection object at 0x7fe663373880>> being returned to pool
2026-02-12 09:03:22.863,,,,Connection <AdaptedConnection <asyncpg.connection.Connection object at 0x7fe663373880>> rollback-on-return
2026-02-12 09:03:22.863,debug,,Using cached model data,"{""cache_expires_in_seconds"": 118.786917, ""event_type"": ""cache_hit"", ""event"": ""Using cached model data"", ""level"": ""debug"", ""timestamp"": ""2026-02-12T09:03:22.863741Z"", ""logger"": ""models"", ""caller"": ""direct_model_service.py:122""}"
2026-02-12 09:03:22.861,,,,"Col ('?column?',)"
2026-02-12 09:03:22.861,,,,"Row (1,)"
2026-02-12 09:03:22.861,,,,ROLLBACK
2026-02-12 09:03:22.857,,,,BEGIN (implicit)
2026-02-12 09:03:22.857,,,,SELECT 1
2026-02-12 09:03:22.857,,,,[cached since 3.188e+04s ago] ()
2026-02-12 09:03:22.850,,,,Connection <AdaptedConnection <asyncpg.connection.Connection object at 0x7fe663373880>> checked out from pool
2026-02-12 09:03:22.850,,,,Pool pre-ping on connection <AdaptedConnection <asyncpg.connection.Connection object at 0x7fe663373880>>
2026-02-12 09:03:22.768,info,/api/v1/webhooks/coinbase,POST /api/v1/webhooks/coinbase - 500,"{""timestamp"": ""2026-02-12T09:03:22.768232+00:00"", ""level"": ""info"", ""logger"": ""core"", ""caller"": ""h11_impl.py:482"", ""event"": ""POST /api/v1/webhooks/coinbase - 500"", ""client_addr"": ""10.41.22.118:24936"", ""method"": ""POST"", ""endpoint"": ""/api/v1/webhooks/coinbase"", ""http_version"": ""1.1"", ""status_code"": 500}"
2026-02-12 09:03:22.767,,,,Connection <AdaptedConnection <asyncpg.connection.Connection object at 0x7fe6692bae30>> being returned to pool
2026-02-12 09:03:22.767,,,,Connection <AdaptedConnection <asyncpg.connection.Connection object at 0x7fe6692bae30>> rollback-on-return
2026-02-12 09:03:22.765,error,,Missing user_id in metadata,"{""coinbase_charge_code"": ""XE8GVKLW"", ""coinbase_charge_id"": ""c23e3de3-24b7-4708-b5f4-a57d635f7da8"", ""event"": ""Missing user_id in metadata"", ""level"": ""error"", ""timestamp"": ""2026-02-12T09:03:22.764801Z"", ""logger"": ""core"", ""caller"": ""coinbase_webhook_service.py:134""}"
2026-02-12 09:03:22.765,error,,Failed to process charge:confirmed,"{""coinbase_event_id"": ""3cb7c4a8-d1a8-463f-90d2-095ea2e106ae"", ""error"": ""Missing user_id in metadata"", ""event"": ""Failed to process charge:confirmed"", ""level"": ""error"", ""timestamp"": ""2026-02-12T09:03:22.764925Z"", ""logger"": ""core"", ""caller"": ""coinbase.py:381""}"
2026-02-12 09:03:22.765,,,,ROLLBACK
2026-02-12 09:03:22.764,,,,"Col ('id', 'user_id', 'currency', 'status', 'entry_type', 'amount_paid', 'amount_staking', 'idempotency_key', 'related_entry_id', 'payment_source', 'external_transaction_id', 'payment_metadata', 'request_id', 'api_key_id', 'model_name', 'model_id', 'endpoint', 'tokens_input', 'tokens_output', 'tokens_total', 'input_price_per_million', 'output_price_per_million', 'failure_code', 'failure_reason', 'description', 'created_at', 'updated_at')"
